Animal_Id,Animal_Type,Animal_Breed
A1040798,DOG,AUST CATTLE DOG
A1040798,DOG,AUST CATTLE DOG
A1040831,DOG,LABRADOR RETR
A1040831,DOG,LABRADOR RETR
A1040950,DOG,ROTTWEILER
A1041055,DOG,POODLE MIN
A1041395,DOG,CHIHUAHUA LH
A1042219,DOG,CHIHUAHUA SH
A1042308,DOG,GERM SHEPHERD
A1042536,DOG,ROTTWEILER
A1042914,DOG,BORDER COLLIE
A1042914,DOG,BORDER COLLIE
A1043028,DOG,PIT BULL
A1043028,DOG,PIT BULL
A1043181,DOG,CHIHUAHUA SH
A1043190,DOG,CHIHUAHUA SH
A1043366,DOG,PIT BULL
A1043676,DOG,GERM SHEPHERD
A1043757,DOG,PIT BULL
A1043801,DOG,LABRADOR RETR
A1043822,DOG,SCHNAUZER STAND
A1044166,DOG,PIT BULL
A1044166,DOG,PIT BULL
A1044166,DOG,PIT BULL
A1044262,DOG,GERM SHEPHERD
A1044262,DOG,GERM SHEPHERD
A1044262,DOG,GERM SHEPHERD
A1044262,DOG,GERM SHEPHERD
A1044277,DOG,MASTIFF
A1044277,DOG,MASTIFF
A1044459,DOG,CAIRN TERRIER
A1045257,DOG,GERM SHEPHERD
A1045290,DOG,CHIHUAHUA SH
A1045592,DOG,ENG BULLDOG
A1045592,DOG,ENG BULLDOG
A1045847,DOG,PIT BULL
A1045969,DOG,GERM SH POINT
A1046245,DOG,PIT BULL
A1046844,DOG,LABRADOR RETR
A1046844,DOG,LABRADOR RETR
A1047090,DOG,ALASKAN HUSKY
A1047310,DOG,PIT BULL
A1047464,DOG,PIT BULL
A1047492,DOG,GERM SHEPHERD
A1048097,DOG,ALASKAN HUSKY
A1048402,DOG,PIT BULL
A1048402,DOG,PIT BULL
A1048402,DOG,PIT BULL
A1048402,DOG,PIT BULL
A1048402,DOG,PIT BULL
A1048476,DOG,LABRADOR RETR
A1048482,DOG,PIT BULL
A1048493,DOG,PIT BULL
A1048538,DOG,AMER BULLDOG
A1048539,DOG,ALASKAN HUSKY
A1048647,DOG,AMERICAN STAFF
A1048711,DOG,PIT BULL
A1049002,DOG,GERM SHEPHERD
A1049147,DOG,PIT BULL
A1049147,DOG,PIT BULL
A1049219,DOG,ROTTWEILER
A1049278,DOG,MIXED BREED
A1049494,DOG,LABRADOR RETR
A1049921,DOG,CHIHUAHUA SH
A1050076,DOG,GERM SHEPHERD
A1050156,DOG,PIT BULL
A1050255,DOG,AM PIT BULL TER
A1050357,DOG,AKITA
A1050527,DOG,GERM SHEPHERD
A1050528,DOG,GERM SHEPHERD
A1050702,DOG,PIT BULL
A1051047,DOG,PIT BULL
A1051614,DOG,GERM SHEPHERD
A1051772,DOG,PIT BULL
A1051772,DOG,PIT BULL
A1051772,DOG,PIT BULL
A1051834,DOG,COLLIE ROUGH
A1051834,DOG,COLLIE ROUGH
A1051835,DOG,PIT BULL
A1052066,DOG,PIT BULL
A1052470,DOG,LABRADOR RETR
A1052597,DOG,PIT BULL
A1052878,DOG,ALASKAN HUSKY
A1053037,DOG,GERM SHEPHERD
A1053037,DOG,GERM SHEPHERD
A1053275,DOG,LABRADOR RETR
A1053275,DOG,LABRADOR RETR
A1053350,DOG,GERM SHEPHERD
A1054129,DOG,CAIRN TERRIER
A1054129,DOG,CAIRN TERRIER
A1054225,DOG,AM PIT BULL TER
A1054279,DOG,PIT BULL
A1054358,DOG,LABRADOR RETR
A1054471,DOG,MASTIFF
A1054487,DOG,GERM SHEPHERD
A1054487,DOG,GERM SHEPHERD
A1054691,DOG,GERM SHEPHERD
A1054700,DOG,ALASKAN HUSKY
A1054700,DOG,ALASKAN HUSKY
A1054810,DOG,GERM SHEPHERD
A1054878,DOG,PIT BULL
A1055011,DOG,PIT BULL
A1055112,DOG,CHIHUAHUA SH
A1055260,DOG,ROTTWEILER
A1055473,DOG,SHIH TZU
A1055524,DOG,CAIRN TERRIER
A1055710,DOG,CANE CORSO
A1055753,DOG,PIT BULL
A1055791,DOG,ROTTWEILER
A1055791,DOG,ROTTWEILER
A1055791,DOG,ROTTWEILER
A1055791,DOG,ROTTWEILER
A1055920,DOG,PIT BULL
A1056055,DOG,LABRADOR RETR
A1056208,DOG,MALTESE
A1056726,DOG,AM PIT BULL TER
A1056726,DOG,AM PIT BULL TER
A1056750,DOG,GERM SHEPHERD
A1057356,DOG,MIXED BREED
A1057446,DOG,LABRADOR RETR
A1057752,DOG,AUST CATTLE DOG
A1057871,DOG,PIT BULL
A1057871,DOG,PIT BULL
A1057903,DOG,PIT BULL
A1057903,DOG,PIT BULL
A1058445,DOG,PIT BULL
A1058613,DOG,LABRADOR RETR
A1058645,DOG,PIT BULL
A1058647,DOG,PIT BULL
A1058785,DOG,PIT BULL
A1059181,DOG,CHIHUAHUA SH
A1059235,DOG,BORDER COLLIE
A1059331,DOG,LABRADOR RETR
A1059415,DOG,GERM SHEPHERD
A1059415,DOG,GERM SHEPHERD
A1059651,DOG,LABRADOR RETR
A1059703,DOG,ROTTWEILER
A1059703,DOG,ROTTWEILER
A1059703,DOG,ROTTWEILER
A1059766,DOG,GERM SHEPHERD
A1059798,DOG,MIXED BREED
A1059918,DOG,GERM SHEPHERD
A1059924,DOG,RHOD RIDGEBACK
A1059936,DOG,TIBETAN MASTIFF
A1060032,DOG,SHIH TZU
A1060047,DOG,GERM SHEPHERD
A1060070,DOG,PIT BULL
A1060181,DOG,GERM SHEPHERD
A1060251,DOG,PIT BULL
A1060283,DOG,GERM SHEPHERD
A1060369,DOG,LABRADOR RETR
A1060369,DOG,LABRADOR RETR
A1060564,DOG,PIT BULL
A1060596,DOG,PIT BULL
A1060786,DOG,GERM SHEPHERD
A1060801,DOG,GERM SHEPHERD
A1060802,DOG,PIT BULL
A1060802,DOG,PIT BULL
A1061016,DOG,ALASKAN HUSKY
A1061016,DOG,ALASKAN HUSKY
A1061059,DOG,PIT BULL
A1061250,DOG,GERM SHEPHERD
A1061406,DOG,BULL TERRIER
A1061855,DOG,PIT BULL
A1061867,DOG,ALASKAN HUSKY
A1061968,DOG,PIT BULL
A1061995,DOG,PIT BULL
A1062057,DOG,SIBERIAN HUSKY
A1062647,DOG,PIT BULL
A1062668,DOG,PIT BULL
A1062668,DOG,PIT BULL
A1062765,CAT,DOMESTIC SH
A1062857,DOG,DACHSHUND
A1062933,DOG,ALASKAN HUSKY
A1063264,DOG,GERM SHEPHERD
A1063681,DOG,PIT BULL
A1063681,DOG,PIT BULL
A1063747,DOG,YORKSHIRE TERR
A1063766,DOG,BULLMASTIFF
A1063905,DOG,LABRADOR RETR
A1063999,DOG,LABRADOR RETR
A1064055,DOG,PIT BULL
A1064059,DOG,PIT BULL
A1064132,DOG,PIT BULL
A1064375,DOG,GERM SHEPHERD
A1064455,DOG,LABRADOR RETR
A1064792,CAT,DOMESTIC SH
A1064792,CAT,DOMESTIC SH
A1064837,DOG,PIT BULL
A1065013,DOG,RAT TERRIER
A1065286,DOG,PIT BULL
A1065759,DOG,LABRADOR RETR
A1065909,DOG,LABRADOR RETR
A1066129,DOG,CHIHUAHUA SH
A1066285,DOG,PIT BULL
A1066453,DOG,LABRADOR RETR
A1066587,DOG,ALASKAN HUSKY
